status	key	command
Conversion	PageUp	ConvertPrevPage
Conversion	Right	SegmentFocusRight
Composition	Right	MoveCursorRight
Composition	Shift Backspace	Backspace
Conversion	Shift Backspace	Cancel
Conversion	Shift Down	ConvertNextPage
Suggestion	Shift Enter	CommitFirstSuggestion
Composition	Shift ESC	Cancel
Conversion	Shift ESC	Cancel
Conversion	Shift Henkan	ConvertPrev
Conversion	Shift Left	SegmentWidthShrink
Composition	Shift Left	MoveCursorLeft
Composition	Shift Muhenkan	ConvertToFullAlphanumeric
Conversion	Shift Muhenkan	ConvertToFullAlphanumeric
Precomposition	Shift Muhenkan	ToggleAlphanumericMode
Conversion	Shift Right	SegmentWidthExpand
Composition	Shift Right	MoveCursorRight
Composition	Shift Space	Convert
Precomposition	Shift Space	InsertAlternateSpace
Conversion	Shift Space	ConvertPrev
Conversion	Shift Tab	ConvertPrev
Conversion	Shift Up	ConvertPrevPage
Composition	Space	Convert
Conversion	Space	ConvertNext
Precomposition	Space	InsertSpace
Composition	Tab	PredictAndConvert
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Conversion	VirtualEnter	CommitOnlyFirstSegment
Composition	VirtualEnter	Commit
Conversion	VirtualLeft	SegmentWidthShrink
Composition	VirtualLeft	MoveCursorLeft
Conversion	VirtualRight	SegmentWidthExpand
Composition	VirtualRight	MoveCursorRight
Composition	ASCII	InsertCharacter
Composition	Kanji	IMEOff
Composition	OFF	IMEOff
Composition	ON	IMEOn
Conversion	Kanji	IMEOff
Conversion	OFF	IMEOff
Conversion	ON	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	ON	IMEOn
Precomposition	ASCII	InsertCharacter
Precomposition	Kanji	IMEOff
Precomposition	OFF	IMEOff
Precomposition	ON	IMEOn
